parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0082,Vacant / Open Plot,6.0,0.0006,0.0015,7.18,12.65,0.0,0.0,0,0.472,0.84,Pending Review,77.211742,28.613468
P-0128,Vacant / Open Plot,5.98,0.0006,0.0015,7.16,19.45,0.0,0.0,0,0.199,0.79,Pending Review,77.212238,28.61323
P-0031,Vacant / Open Plot,5.68,0.0006,0.0014,6.8,10.0,0.0,0.0,0,0.714,0.89,Pending Review,77.210627,28.613727
P-0094,Vacant / Open Plot,5.92,0.0006,0.0015,7.08,11.46,0.0,0.0,0,0.567,0.86,Pending Review,77.212211,28.613398
P-0375,Vacant / Open Plot,5.45,0.0005,0.0013,6.52,18.28,0.0,0.0,0,0.205,0.79,Pending Review,77.209136,28.611978
P-0569,Vacant / Open Plot,5.43,0.0005,0.0013,6.49,11.88,0.0,0.0,0,0.483,0.85,Pending Review,77.210598,28.611076
P-0368,Vacant / Open Plot,5.53,0.0006,0.0014,6.62,15.47,0.0,0.0,0,0.291,0.81,Pending Review,77.209696,28.612045
P-0470,Vacant / Open Plot,5.34,0.0005,0.0013,6.39,12.38,0.0,0.0,0,0.438,0.84,Pending Review,77.209013,28.61149
P-0003,Vacant / Open Plot,5.51,0.0006,0.0014,6.59,14.85,0.0,0.0,0,0.314,0.81,Pending Review,77.210022,28.613874
P-0270,Vacant / Open Plot,5.51,0.0006,0.0014,6.59,10.95,0.0,0.0,0,0.577,0.87,Pending Review,77.210485,28.612536
P-0211,Vacant / Open Plot,5.32,0.0005,0.0013,6.36,14.88,0.0,0.0,0,0.302,0.81,Pending Review,77.20926,28.612793
P-0521,Vacant / Open Plot,5.36,0.0005,0.0013,6.41,15.16,0.0,0.0,0,0.293,0.81,Pending Review,77.211413,28.611271
P-0428,Vacant / Open Plot,5.43,0.0005,0.0013,6.49,18.99,0.0,0.0,0,0.189,0.79,Pending Review,77.210048,28.6117
P-0571,Vacant / Open Plot,5.32,0.0005,0.0013,6.36,9.57,0.0,0.0,0,0.73,0.9,Pending Review,77.209023,28.611069
P-0004,Vacant / Open Plot,5.32,0.0005,0.0013,6.36,15.3,0.0,0.0,0,0.286,0.81,Pending Review,77.21007,28.613874
P-0335,Vacant / Open Plot,5.23,0.0005,0.0013,6.26,13.2,0.0,0.0,0,0.377,0.83,Pending Review,77.211303,28.612213
P-0196,Vacant / Open Plot,5.0,0.0005,0.0012,5.98,13.81,0.0,0.0,0,0.329,0.82,Pending Review,77.212021,28.612893
P-0052,Vacant / Open Plot,5.09,0.0005,0.0013,6.08,9.79,0.0,0.0,0,0.667,0.88,Pending Review,77.20987,28.613631
P-0069,Vacant / Open Plot,5.23,0.0005,0.0013,6.26,10.41,0.0,0.0,0,0.607,0.87,Pending Review,77.21204,28.613511
P-0542,Vacant / Open Plot,5.11,0.0005,0.0013,6.11,11.94,0.0,0.0,0,0.45,0.84,Pending Review,77.211348,28.611206
P-0104,Vacant / Open Plot,5.02,0.0005,0.0012,6.01,11.54,0.0,0.0,0,0.474,0.84,Pending Review,77.210426,28.613351
P-0044,Vacant / Open Plot,4.76,0.0005,0.0012,5.7,11.4,0.0,0.0,0,0.461,0.84,Pending Review,77.210512,28.613663
P-0090,Mixed Use,5.09,0.0005,0.0013,6.08,10.96,8.4,0.43,1,0.532,0.86,Pending Review,77.209008,28.613426
P-0411,Vacant / Open Plot,4.94,0.0005,0.0012,5.9,11.5,0.0,0.0,0,0.469,0.84,Pending Review,77.210259,28.611813
P-0554,Vacant / Open Plot,5.0,0.0005,0.0012,5.98,18.83,0.0,0.0,0,0.177,0.79,Pending Review,77.209665,28.61119
P-0568,Vacant / Open Plot,5.11,0.0005,0.0013,6.11,11.98,0.0,0.0,0,0.447,0.84,Pending Review,77.210535,28.611076
P-0158,Vacant / Open Plot,4.87,0.0005,0.0012,5.83,18.45,0.0,0.0,0,0.18,0.79,Pending Review,77.210994,28.613131
P-0567,Vacant / Open Plot,4.91,0.0005,0.0012,5.88,12.97,0.0,0.0,0,0.367,0.82,Pending Review,77.210118,28.611077
P-0010,Vacant / Open Plot,5.13,0.0005,0.0013,6.13,11.27,0.0,0.0,0,0.507,0.85,Pending Review,77.211193,28.613866
P-0268,Vacant / Open Plot,4.89,0.0005,0.0012,5.85,9.89,0.0,0.0,0,0.629,0.88,Pending Review,77.209825,28.612546
