Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0180,Tree / Forest,Vegetation,6.59,0.0007,0.0016,7.88,14.49,8,85%,Pending Review
CAD-0181,Tree / Forest,Vegetation,2.7,0.0003,0.0007,3.23,8.85,8,85%,Pending Review
CAD-0182,Tree / Forest,Vegetation,12.18,0.0012,0.003,14.57,14.66,9,85%,Pending Review
CAD-0183,Tree / Forest,Vegetation,8.64,0.0009,0.0021,10.33,13.42,9,85%,Pending Review
CAD-0184,Tree / Forest,Vegetation,12.68,0.0013,0.0031,15.17,14.89,9,85%,Pending Review
CAD-0185,Tree / Forest,Vegetation,14.33,0.0014,0.0035,17.14,15.87,11,85%,Pending Review
CAD-0186,Tree / Forest,Vegetation,30.87,0.0031,0.0076,36.92,28.22,8,85%,Pending Review
CAD-0187,Tree / Forest,Vegetation,11.96,0.0012,0.003,14.3,18.82,11,85%,Pending Review
CAD-0188,Tree / Forest,Vegetation,52.16,0.0052,0.0129,62.38,39.17,8,85%,Pending Review
CAD-0189,Tree / Forest,Vegetation,70.07,0.007,0.0173,83.8,41.51,8,85%,Pending Review
CAD-0190,Tree / Forest,Vegetation,11.68,0.0012,0.0029,13.97,17.11,9,85%,Pending Review
CAD-0191,Tree / Forest,Vegetation,9.94,0.001,0.0025,11.89,16.0,10,85%,Pending Review
CAD-0192,Tree / Forest,Vegetation,163.99,0.0164,0.0405,196.13,65.13,7,85%,Pending Review
CAD-0193,Tree / Forest,Vegetation,535.74,0.0536,0.1324,640.75,109.59,10,85%,Pending Review
CAD-0194,Tree / Forest,Vegetation,7.0,0.0007,0.0017,8.37,13.25,10,85%,Pending Review
CAD-0195,Tree / Forest,Vegetation,4.73,0.0005,0.0012,5.66,8.4,11,85%,Pending Review
CAD-0196,Tree / Forest,Vegetation,8.5,0.0008,0.0021,10.17,12.95,10,85%,Pending Review
CAD-0197,Tree / Forest,Vegetation,117.71,0.0118,0.0291,140.78,60.59,9,85%,Pending Review
CAD-0198,Tree / Forest,Vegetation,203.28,0.0203,0.0502,243.12,89.54,8,85%,Pending Review
